iter	Passed	Remaining
0	9	2934
1	17	2645
2	25	2566
3	33	2470
4	41	2430
5	48	2387
6	56	2352
7	64	2340
8	72	2330
9	79	2318
10	87	2302
11	94	2276
12	101	2239
13	108	2221
14	116	2206
15	122	2174
16	129	2157
17	136	2131
18	142	2111
19	150	2100
20	159	2115
21	167	2114
22	175	2113
23	183	2107
24	191	2108
25	199	2101
26	206	2091
27	213	2070
28	220	2061
29	228	2052
30	236	2051
31	244	2044
32	251	2037
33	258	2022
34	265	2006
35	271	1987
36	279	1983
37	286	1977
38	294	1969
39	301	1957
40	309	1954
41	317	1948
42	325	1942
43	333	1937
44	339	1925
45	347	1917
46	354	1905
47	362	1902
48	370	1895
49	377	1889
50	384	1877
51	392	1871
52	399	1862
53	407	1856
54	415	1849
55	423	1843
56	430	1834
57	437	1824
58	444	1815
59	451	1806
60	460	1805
61	468	1799
62	476	1793
63	484	1784
64	491	1777
65	498	1766
66	505	1758
67	513	1752
68	521	1745
69	528	1736
70	536	1731
71	544	1724
72	551	1715
73	559	1709
74	567	1702
75	575	1694
76	582	1686
77	589	1677
78	596	1669
79	604	1661
80	611	1653
81	620	1649
82	627	1641
83	635	1635
84	642	1625
85	649	1616
86	657	1609
87	664	1602
88	672	1593
89	679	1586
90	688	1580
91	694	1570
92	701	1561
93	708	1553
94	716	1546
95	724	1539
96	732	1533
97	739	1524
98	746	1514
99	754	1508
100	760	1499
101	768	1492
102	775	1484
103	782	1475
104	788	1465
105	795	1456
106	802	1447
107	809	1439
108	817	1431
109	825	1425
110	832	1417
111	840	1411
112	849	1405
113	859	1401
114	867	1396
115	874	1387
116	883	1382
117	891	1375
118	899	1367
119	906	1360
120	914	1352
121	921	1344
122	929	1337
123	938	1332
124	946	1325
125	953	1317
126	961	1309
127	969	1302
128	976	1294
129	985	1288
130	992	1280
131	1000	1273
132	1006	1263
133	1014	1256
134	1020	1247
135	1027	1239
136	1036	1233
137	1044	1226
138	1052	1218
139	1059	1210
140	1067	1203
141	1073	1194
142	1081	1187
143	1089	1180
144	1098	1173
145	1105	1166
146	1113	1159
147	1122	1152
148	1130	1145
149	1138	1138
150	1146	1131
151	1154	1124
152	1161	1116
153	1169	1108
154	1176	1100
155	1184	1093
156	1191	1085
157	1199	1077
158	1206	1070
159	1214	1062
160	1221	1054
161	1229	1047
162	1236	1039
163	1245	1032
164	1253	1025
165	1262	1019
166	1270	1011
167	1277	1004
168	1286	997
169	1295	990
170	1302	982
171	1311	976
172	1319	968
173	1327	961
174	1335	953
175	1344	946
176	1351	939
177	1360	932
178	1368	925
179	1376	917
180	1385	911
181	1395	904
182	1404	897
183	1412	890
184	1419	882
185	1427	874
186	1435	867
187	1443	859
188	1450	851
189	1458	844
190	1466	836
191	1475	830
192	1483	822
193	1491	815
194	1499	807
195	1506	799
196	1515	792
197	1522	784
198	1532	777
199	1540	770
200	1548	762
201	1557	755
202	1563	747
203	1572	740
204	1580	732
205	1588	724
206	1598	718
207	1607	711
208	1614	702
209	1621	694
210	1629	687
211	1637	679
212	1644	671
213	1652	664
214	1661	656
215	1668	648
216	1676	641
217	1683	633
218	1690	625
219	1698	617
220	1706	610
221	1714	602
222	1721	594
223	1730	587
224	1739	579
225	1746	571
226	1755	564
227	1762	556
228	1770	548
229	1778	541
230	1786	533
231	1794	525
232	1801	518
233	1810	510
234	1818	503
235	1826	495
236	1833	487
237	1841	479
238	1849	472
239	1857	464
240	1865	456
241	1873	449
242	1881	441
243	1891	434
244	1900	426
245	1909	419
246	1916	411
247	1924	403
248	1932	395
249	1940	388
250	1949	380
251	1957	372
252	1966	365
253	1974	357
254	1982	349
255	1991	342
256	2001	334
257	2010	327
258	2018	319
259	2026	311
260	2035	304
261	2043	296
262	2053	288
263	2060	280
264	2067	273
265	2075	265
266	2084	257
267	2093	249
268	2102	242
269	2110	234
270	2119	226
271	2126	218
272	2133	210
273	2142	203
274	2152	195
275	2162	188
276	2171	180
277	2179	172
278	2187	164
279	2194	156
280	2202	148
281	2211	141
282	2219	133
283	2227	125
284	2235	117
285	2243	109
286	2251	101
287	2259	94
288	2268	86
289	2276	78
290	2285	70
291	2293	62
292	2301	54
293	2308	47
294	2316	39
295	2324	31
296	2332	23
297	2339	15
298	2346	7
299	2354	0
