Target;Baseline;Compared_Model;N;Mean_Diff_Points(Ridge-Other);Cohen_d_Points;Better_Model_Points;t_stat_Points;p_t_Points;w_stat_Points;p_w_Points;Mean_Diff_Rank(Ridge-Other);Cohen_d_Rank;Better_Model_Rank;t_stat_Rank;p_t_Rank;w_stat_Rank;p_w_Rank;p_t_Points_fdr;p_w_Points_fdr;sig_t_Points(0.05);p_t_Rank_fdr;p_w_Rank_fdr;sig_t_Rank(0.05)
Points_next_week;Ridge;LightGBM;17651;0.28069911108663437;0.07589776441417731;LightGBM;10.083554299989059;7.579467846469019e-24;70853618.0;2.4964426272914003e-25;0.12894453572035577;0.03630996795679343;LightGBM;4.824035811189157;1.4185641119908795e-06;38035517.5;0.1447940017471194;2.577520776425519e-70;8.761588536178569e-141;True;7.499141179235778e-22;1.763065906294e-21;True
Points_next_week;Ridge;CatBoost;17651;0.24987217200008863;0.06768002673727863;CatBoost;8.991769782649637;2.6741445383547288e-19;72526201.0;2.214071159192926e-15;0.11636734462636678;0.03291127009947767;CatBoost;4.372494785468269;1.2353753673827791e-05;42157378.0;0.400621584234206;2.577520776425519e-70;8.761588536178569e-141;True;1.2740762050278823e-16;1.763065906294e-21;True
Points_next_week;Ridge;MLPRegressor;17651;0.21770918927292446;0.049482235432147616;MLPRegressor;6.574064621219602;5.033129963753134e-11;73072400.0;1.0643452966371034e-12;0.026967310633958415;0.006404280121638246;MLPRegressor;0.8508538671373168;0.3948620768776956;45037600.5;0.011408482136459286;2.577520776425519e-70;8.761588536178569e-141;True;1.2740762050278823e-16;1.763065906294e-21;True
Points_next_week;Ridge;TCN;17651;0.24970840009860654;0.05825666538648092;TCN;7.7398096412329105;1.0492176219890617e-14;71808076.0;2.4838533519315685e-19;0.08917341793666081;0.021520142795115254;TCN;2.859103032783514;0.004253385198036732;42449671.0;0.8563377194297882;2.577520776425519e-70;8.761588536178569e-141;True;1.5797109354045223e-14;3.097616367718534e-18;True
Points_next_2weeks;Ridge;LightGBM;17222;0.5884234204174755;0.10887378741034061;LightGBM;14.287792142178958;4.780266055126092e-46;63216271.0;4.530319004957201e-63;0.31250725815816977;0.05846311992335919;LightGBM;7.672268277946409;1.7797919348555464e-14;45965748.5;2.661135583787852e-07;2.577520776425519e-70;8.761588536178569e-141;True;4.271500643653312e-14;1.4218505697999752e-07;True
Points_next_2weeks;Ridge;CatBoost;17222;0.5102935338634113;0.09497637731551513;CatBoost;12.463998633452109;1.6696531177204922e-35;66277266.0;1.4884822366459167e-33;0.26512600162582745;0.05001707707044626;CatBoost;6.563871963491617;5.392450761816954e-11;50400763.5;0.0025046662566275135;2.577520776425519e-70;8.761588536178569e-141;True;4.271500643653312e-14;1.4218505697999752e-07;True
Points_next_2weeks;Ridge;MLPRegressor;17222;0.6393157030522103;0.09859443333463234;MLPRegressor;12.93880559653748;4.09209708856552e-38;63643684.0;2.2347926216347735e-58;0.3533852049703867;0.0542428173105475;MLPRegressor;7.118426917751191;1.1346862352089368e-12;50169020.0;8.294128323833189e-08;2.577520776425519e-70;8.761588536178569e-141;True;4.271500643653312e-14;1.4218505697999752e-07;True
Points_next_2weeks;Ridge;TCN;17222;0.11682525413640389;0.017716839312946958;TCN;2.325027203891766;0.020082067133051048;71093853.0;2.73742362462369e-06;0.2754616188595982;0.04292852485212699;TCN;5.633622698784693;1.792218543081876e-08;52225417.0;0.0011050211412605147;2.577520776425519e-70;8.761588536178569e-141;True;1.0784901523633909e-10;1.4218505697999752e-07;True
Points_next_4weeks;Ridge;LightGBM;16426;0.907335773984105;0.13417432262206516;LightGBM;17.1963121810464;1.0636992319501108e-65;53762415.0;1.9302745156029234e-112;0.5010349446000244;0.07529386450257404;LightGBM;9.649959649513022;5.624355884426833e-22;45305241.0;1.3222994297205e-21;9.095361415762823e-23;2.9957311527496806e-24;True;1.0784901523633909e-10;0.005009332513255027;True
Points_next_4weeks;Ridge;CatBoost;16426;0.7827196772447055;0.11670662493249885;CatBoost;14.95758291687848;2.9771046064719466e-50;56305449.0;3.3248495944548517e-75;0.3571167661025204;0.0539779339228561;CatBoost;6.9180256287925594;4.748817124399167e-12;49146124.0;1.1246202305781157e-05;9.095361415762823e-23;2.9957311527496806e-24;True;1.0784901523633909e-10;0.005009332513255027;True
Points_next_4weeks;Ridge;MLPRegressor;16426;0.9545588117325695;0.1325876452821374;MLPRegressor;16.99295733389845;3.274885968986637e-64;53745840.0;1.0424007083502555e-112;0.42384025325703156;0.060072194806857875;MLPRegressor;7.6990902216746555;1.4480683574541454e-14;48037716.0;2.080354392413339e-18;9.095361415762823e-23;2.9957311527496806e-24;True;7.412252204296675e-05;0.045633928545837144;True
Points_next_4weeks;Ridge;TCN;16426;0.9684987077426114;0.13898440051653901;TCN;17.812790799846745;2.577520776425519e-70;52105551.0;8.761588536178568e-141;0.44758309996347256;0.0646417110009903;TCN;8.284737500938249;1.2740762050278823e-16;46673926.0;3.097616367718534e-18;9.095361415762823e-23;2.9957311527496806e-24;True;7.412252204296675e-05;0.045633928545837144;True
