feature;importance_mean;importance_std
Rank;20.423258240335706;0.12239503387442112
Points (Total);17.65880709134094;0.11552044975159037
Points_rolling_mean_4w;11.102647446355157;0.08552885306159279
Rank_rolling_mean_4w;5.05562134931837;0.0484474967537711
Rank_last_week;2.283473648140744;0.04397304015810658
Weeks_on_chart;0.5548908505495206;0.02460819199166806
Rank_change;0.1628960114247139;0.009401974540843053
Valence;0.14210810158563641;0.009413118537990026
Points_change;0.1417453620344963;0.008709225950890178
Danceability;0.10329445751834321;0.007369028941340066
Artist_Hotness;0.05518278959215443;0.006628586963869989
Points_last_week;0.04222064885698309;0.006706141765599015
Acousticness;0.02485976262299765;0.004056831137178072
Energy;0.009834333591013688;0.0033084072992505464
Loudness_Corrected;0.003869783748841371;0.004815446884432189
Artist_Count;0.0002934003432082832;0.003021197567560167
Instrumentalness;-0.002726480546710519;0.0021100272155442005
Nationality_Count;-0.005291034379358628;0.0016438266014498625
Speechiness;-0.01738461033824823;0.006861012959473424
