y_pred;ci_lower;ci_upper
95.99919;65.362595;126.63579
71.97173;41.33514;102.60832
140.93224;110.29564;171.56883
133.26984;102.63324;163.90643
167.88661;137.25002;198.52321
195.8204;165.1838;226.457
41.20122;10.564629;71.837814
58.88906;28.252468;89.52565
126.35196;95.71536;156.98856
92.388626;61.752033;123.02522
99.362946;68.72635;129.99954
118.141846;87.50525;148.77844
66.48001;35.84342;97.11661
27.752705;-2.8838882;58.389297
143.92358;113.28699;174.56018
170.24423;139.60764;200.88083
12.311067;-18.325527;42.94766
164.27084;133.63425;194.90744
192.83026;162.19366;223.46686
182.47345;151.83685;213.11005
41.067333;10.43074;71.703926
22.694923;-7.9416695;53.331516
41.86197;11.225376;72.498566
119.16159;88.524994;149.79819
151.23546;120.59886;181.87206
30.873018;0.2364254;61.509613
48.250786;17.614193;78.887375
188.49216;157.85556;219.12875
82.36594;51.729343;113.00253
171.38818;140.75159;202.02478
162.56488;131.92828;193.20148
126.78962;96.15303;157.42621
172.65567;142.01907;203.29227
158.8244;128.1878;189.461
156.44682;125.81023;187.08342
95.26201;64.62541;125.898605
141.5936;110.957;172.2302
177.06859;146.43199;207.70518
87.616234;56.97964;118.25282
114.91613;84.27954;145.55272
127.93957;97.30298;158.57616
95.657974;65.02138;126.29457
55.515343;24.87875;86.15193
130.3248;99.6882;160.9614
53.761032;23.12444;84.39763
156.44507;125.80847;187.08167
13.729109;-16.907484;44.3657
40.507523;9.87093;71.14412
21.2865;-9.350092;51.923096
84.754166;54.117573;115.39076
129.16655;98.52995;159.80315
50.909943;20.27335;81.54654
93.87166;63.235065;124.508255
169.11076;138.47417;199.74736
150.86478;120.22818;181.50137
179.79413;149.15753;210.43073
98.04112;67.404526;128.67772
37.523647;6.8870544;68.16024
42.006466;11.369873;72.64306
96.8138;66.1772;127.45039
76.99241;46.355816;107.629
102.20008;71.56349;132.83667
74.06196;43.425365;104.69855
57.600487;26.963894;88.237076
50.353203;19.71661;80.98979
29.285192;-1.3514004;59.921783
34.015465;3.378872;64.652054
18.074038;-12.562555;48.710632
31.106829;0.47023582;61.743423
16.513916;-14.122677;47.15051
42.37757;11.740978;73.01416
53.00167;22.365078;83.63826
145.70448;115.06789;176.34108
134.0166;103.380005;164.6532
85.78134;55.14475;116.41794
133.47195;102.83536;164.10855
180.69987;150.06328;211.33647
17.211683;-13.42491;47.848274
67.11454;36.477947;97.75113
184.2344;153.59781;214.871
61.099396;30.462803;91.73599
160.58347;129.94687;191.22006
23.567436;-7.0691566;54.20403
77.33372;46.697124;107.97031
186.77625;156.13965;217.41284
88.87203;58.23544;119.50862
55.675426;25.038834;86.31202
133.0752;102.4386;163.71179
146.7277;116.09111;177.3643
180.25294;149.61635;210.88954
109.98753;79.35094;140.62413
14.059618;-16.576975;44.696213
120.65463;90.018036;151.29123
134.81763;104.18103;165.45422
155.99118;125.35458;186.62778
83.86154;53.22495;114.49814
183.01086;152.37427;213.64746
116.25082;85.61423;146.8874
26.62101;-4.015583;57.257603
20.787909;-9.848684;51.4245
16.04381;-14.592783;46.680405
66.52695;35.890354;97.16354
43.709145;13.072552;74.34573
30.299349;-0.33724403;60.935944
166.84032;136.20372;197.47691
21.097612;-9.5389805;51.734207
109.115265;78.47867;139.75186
52.031532;21.39494;82.66812
191.27637;160.63977;221.91296
79.46032;48.823727;110.09691
149.3866;118.75;180.0232
33.744907;3.1083145;64.3815
29.084724;-1.5518684;59.721317
184.29724;153.66064;214.93384
146.07365;115.43706;176.71025
52.918274;22.281681;83.55487
99.66724;69.03064;130.30383
65.63718;35.000584;96.27377
44.738262;14.101669;75.374855
189.31618;158.67958;219.95277
172.77605;142.13945;203.41264
85.48662;54.850025;116.123215
49.064724;18.428131;79.70132
7.568915;-23.067678;38.20551
107.84309;77.2065;138.47968
111.34182;80.70523;141.97841
191.91557;161.27898;222.55217
109.63431;78.99771;140.2709
193.87213;163.23553;224.50873
80.97233;50.335735;111.60892
75.8308;45.19421;106.46739
70.73404;40.097446;101.370636
11.720478;-18.916115;42.35707
70.653244;40.01665;101.28984
120.39896;89.76236;151.03555
108.89929;78.262695;139.53589
35.845097;5.2085037;66.48169
176.8116;146.175;207.4482
154.06325;123.42665;184.69984
100.71391;70.07732;131.35051
40.76675;10.130157;71.40334
26.28051;-4.356083;56.917103
33.6501;3.0135078;64.2867
139.11095;108.47435;169.74754
169.12312;138.48653;199.75972
127.920456;97.28386;158.55705
82.247345;51.610752;112.88394
109.84576;79.20917;140.48235
144.51387;113.87727;175.15047
170.0322;139.3956;200.6688
29.751497;-0.8850956;60.388092
21.070387;-9.566206;51.706978
75.45758;44.820988;106.09418
85.327484;54.69089;115.96408
178.69933;148.06273;209.33592
113.262924;82.62633;143.89952
155.36444;124.727844;186.00104
61.501045;30.864452;92.137634
94.45788;63.821285;125.09447
145.25142;114.61482;175.88802
65.046906;34.410313;95.6835
24.586304;-6.050289;55.222897
27.677467;-2.9591255;58.31406
157.84908;127.21248;188.48567
27.488268;-3.148325;58.124863
142.64857;112.01198;173.28517
104.259636;73.62305;134.89622
58.58287;27.946278;89.21947
17.441114;-13.195478;48.077705
129.72734;99.090744;160.36394
115.146;84.509415;145.7826
25.942076;-4.694517;56.578667
42.59983;11.963238;73.23642
28.315447;-2.321146;58.95204
22.107666;-8.528927;52.74426
99.30675;68.67015;129.94334
143.87146;113.23486;174.50806
192.80151;162.16492;223.43811
155.14577;124.50917;185.78236
102.01329;71.37669;132.64989
74.37979;43.7432;105.01639
11.670481;-18.966112;42.307076
174.74771;144.11111;205.38431
58.38839;27.751797;89.02498
15.905127;-14.731466;46.541718
121.12452;90.48793;151.76111
61.520885;30.884293;92.15748
71.38643;40.749836;102.023026
49.21125;18.574657;79.84784
66.75523;36.11864;97.39183
109.0004;78.3638;139.637
158.05273;127.41614;188.68933
145.66685;115.03026;176.30345
132.778;102.1414;163.4146
188.0485;157.4119;218.68509
91.28563;60.649036;121.922226
11.139141;-19.497452;41.775734
22.3416;-8.294992;52.978195
144.65779;114.021194;175.29439
173.85892;143.22232;204.49551
82.720535;52.083942;113.35713
28.09533;-2.5412636;58.731922
116.56503;85.92844;147.20163
45.100533;14.46394;75.73712
55.193447;24.556854;85.83004
130.37155;99.734955;161.00815
174.98148;144.34488;205.61807
93.61459;62.978;124.25119
120.40926;89.772675;151.04585
192.89862;162.26202;223.53522
183.03368;152.39708;213.67027
70.55146;39.914867;101.18805
72.22963;41.593037;102.86623
36.649673;6.0130806;67.28627
75.53841;44.901814;106.175
189.30597;158.66937;219.94257
194.15749;163.52089;224.79408
122.260506;91.62392;152.8971
92.50516;61.868565;123.141754
147.65894;117.02234;178.29553
38.74125;8.104656;69.37784
140.95306;110.31647;171.58966
45.17258;14.535988;75.80917
24.749788;-5.8868046;55.386383
30.740946;0.10435295;61.37754
146.06223;115.42563;176.69882
156.32973;125.69313;186.96632
180.46257;149.82597;211.09917
41.630714;10.994122;72.2673
152.71455;122.07796;183.35115
146.74922;116.112625;177.38582
181.69711;151.06052;212.33371
11.397256;-19.239338;42.033848
58.653915;28.017323;89.29051
23.379745;-7.2568474;54.01634
18.379717;-12.256876;49.01631
18.853634;-11.782959;49.490227
62.55636;31.919765;93.19295
170.15875;139.52216;200.79535
97.65468;67.01808;128.29128
74.34667;43.71008;104.98326
155.36183;124.725235;185.99843
129.94312;99.30652;160.57971
17.446413;-13.19018;48.083008
73.32974;42.69315;103.96634
18.490065;-12.146528;49.126656
58.63948;28.002888;89.27608
101.07411;70.437515;131.71071
80.40753;49.77094;111.04413
132.54147;101.90488;163.17807
106.861145;76.22455;137.49774
134.54706;103.91046;165.18365
14.464826;-16.171768;45.101418
55.64398;25.007385;86.28057
78.29382;47.65723;108.93042
98.152985;67.51639;128.78958
104.72142;74.08482;135.35802
67.27736;36.640766;97.913956
158.86523;128.22864;189.50183
140.30164;109.66504;170.93823
35.129173;4.4925804;65.76576
191.91422;161.27762;222.55081
137.54251;106.905914;168.17911
30.352732;-0.28386116;60.989326
31.34589;0.7092972;61.982483
177.51654;146.87994;208.15314
107.06732;76.430725;137.70392
180.24121;149.60461;210.8778
75.36435;44.727757;106.000946
177.32004;146.68344;207.95663
31.885153;1.24856;62.521744
126.88992;96.25333;157.52652
145.50874;114.87215;176.14534
117.350815;86.71422;147.98741
77.73437;47.097775;108.37096
111.17283;80.53624;141.80942
24.753716;-5.8828773;55.39031
133.12143;102.48483;163.75803
116.66875;86.03215;147.30534
32.734337;2.097744;63.37093
44.98197;14.345379;75.61856
23.736729;-6.899864;54.37332
182.42188;151.78528;213.05847
170.47931;139.84271;201.1159
111.6817;81.045105;142.3183
11.318753;-19.31784;41.955345
166.91605;136.27945;197.55264
191.28226;160.64566;221.91885
75.07537;44.438778;105.71196
45.72048;15.083889;76.35707
20.50965;-10.126944;51.14624
13.8473835;-16.78921;44.48398
54.96201;24.325417;85.5986
29.788576;-0.84801674;60.42517
66.76731;36.13072;97.4039
49.758736;19.122143;80.395325
37.5743;6.937706;68.21089
158.07516;127.43857;188.71176
10.257889;-20.378704;40.89448
162.38101;131.74442;193.01761
80.099014;49.46242;110.73561
150.10226;119.46567;180.73886
147.10391;116.467316;177.74051
44.21653;13.579937;74.85312
68.72766;38.09107;99.36426
40.858402;10.221809;71.494995
102.019714;71.38312;132.65631
186.76756;156.13097;217.40416
10.735297;-19.901295;41.37189
145.26343;114.62683;175.90002
184.23239;153.5958;214.86899
164.2911;133.65451;194.9277
100.746185;70.10959;131.38278
68.31399;37.677395;98.95058
168.02112;137.38452;198.65771
27.816248;-2.820345;58.452843
139.49915;108.86255;170.13574
68.822586;38.185993;99.45918
67.890854;37.25426;98.52745
110.59785;79.96126;141.23444
139.1669;108.530304;169.8035
89.94473;59.30814;120.58133
49.46299;18.826397;80.09958
42.69026;12.053669;73.32686
184.40646;153.76987;215.04306
160.50815;129.87155;191.14474
100.852325;70.21573;131.48892
21.40205;-9.234543;52.038643
91.49544;60.858845;122.132034
114.30737;83.67078;144.94397
130.49527;99.85867;161.13187
69.70448;39.06789;100.34108
171.43639;140.79979;202.07298
38.44369;7.8070984;69.080284
68.11415;37.47756;98.75075
166.29007;135.65347;196.92667
101.859955;71.22336;132.49655
69.34532;38.70873;99.98192
52.545727;21.909134;83.18232
124.03047;93.393875;154.66707
25.32057;-5.316023;55.95716
104.74837;74.11177;135.38496
9.861691;-20.774902;40.498283
133.61993;102.98334;164.25653
16.854803;-13.78179;47.491394
53.00312;22.366528;83.63971
84.345825;53.709232;114.98242
80.87413;50.237537;111.51073
129.20738;98.570786;159.84398
177.1637;146.5271;207.8003
188.1717;157.53511;218.8083
40.378616;9.742023;71.01521
132.82048;102.18388;163.45708
45.261833;14.62524;75.89842
158.8809;128.24431;189.5175
158.95601;128.31941;189.5926
99.27732;68.64073;129.91391
94.44956;63.81297;125.08615
16.263008;-14.373585;46.8996
148.26987;117.63327;178.90646
82.81854;52.18195;113.45514
102.71177;72.07518;133.34836
39.732124;9.095531;70.36871
195.80084;165.16425;226.43744
27.082668;-3.5539246;57.71926
44.838024;14.201431;75.47462
45.165108;14.528515;75.8017
156.6425;126.005905;187.2791
57.197254;26.560661;87.83385
127.12663;96.490036;157.76323
79.2565;48.619907;109.8931
97.19319;66.556595;127.82979
27.817572;-2.8190212;58.454163
25.477236;-5.159357;56.11383
188.4978;157.8612;219.1344
35.75863;5.122036;66.39522
55.122208;24.485615;85.758804
169.56879;138.93219;200.20538
103.32195;72.68536;133.95854
153.30048;122.66388;183.93707
104.49513;73.858536;135.13173
163.59702;132.96042;194.23361
172.00085;141.36426;202.63745
114.94865;84.31206;145.58524
193.04349;162.40689;223.68008
115.609825;84.973236;146.24641
94.53474;63.898144;125.171326
118.45637;87.81978;149.09296
15.638926;-14.997667;46.27552
30.718588;0.08199501;61.35518
90.858734;60.22214;121.49533
118.86578;88.22919;149.50238
151.87549;121.23889;182.51208
124.05377;93.417175;154.69037
135.60132;104.96472;166.23792
156.71243;126.075836;187.34903
72.8148;42.178204;103.451385
17.03357;-13.603024;47.670162
62.500698;31.864105;93.13729
115.110916;84.47432;145.74751
180.73299;150.09639;211.36958
146.96686;116.33026;177.60345
103.08992;72.45332;133.72652
177.6217;146.9851;208.2583
58.434807;27.798214;89.071396
61.248558;30.611965;91.88515
81.83998;51.20339;112.47658
116.55769;85.9211;147.19429
