feature;importance_mean;importance_std
Points (Total);20.120296594479434;0.11454169092625359
Rank;19.56982728949879;0.12010507070938832
Points_rolling_mean_4w;8.204272779750015;0.08706690915641589
Rank_rolling_mean_4w;7.444818936691732;0.09012982877675633
Rank_last_week;2.431032971401148;0.04261330435675756
Points_last_week;1.279573811136074;0.03651761626382523
Weeks_on_chart;0.4790596263864952;0.025722074024521344
Valence;0.3389728621812992;0.01739817974249574
Danceability;0.23175946771856246;0.014822026778866586
Rank_change;0.17504938915207474;0.011877472700774416
Points_change;0.16626748657990725;0.014163512060957974
Nationality_Count;0.12022641101872988;0.014985083991305692
Loudness_Corrected;0.08817804647978793;0.011060427091008093
Energy;0.07753045734469292;0.009736960177743737
Acousticness;0.07240589595591303;0.011130945154541683
Artist_Count;0.05850880658248574;0.012964437678592082
Instrumentalness;0.035371562236347034;0.007327380903151978
Artist_Hotness;0.03154251219406401;0.010508615899716642
Speechiness;-0.04081226899474135;0.009945190585931369
