feature;importance_mean;importance_std
Rank;21.75386732046841;0.14733043011065267
Points (Total);19.582848799357414;0.1346209518901631
Rank_rolling_mean_4w;9.717012144505613;0.10585040227875518
Points_rolling_mean_4w;7.698664197211842;0.09817940497815712
Points_last_week;3.2175583829905796;0.04283319525066779
Rank_last_week;2.5729366224466377;0.0390432145807564
Weeks_on_chart;0.6562500753603178;0.03364710008355225
Valence;0.24215417308074283;0.014832779699343407
Rank_change;0.1965022262581666;0.015566241020482947
Danceability;0.19646589359801378;0.018001087689096838
Points_change;0.19234321394277973;0.009145690972254681
Artist_Hotness;0.10568663257434618;0.01436051429044754
Energy;0.08221606051460917;0.006053984357814265
Loudness_Corrected;0.0654282164094683;0.011081011513730575
Artist_Count;0.03604127892272899;0.009304724342654227
Acousticness;0.021671704544920622;0.007535871957310894
Instrumentalness;0.020053367749862973;0.006825463452098956
Nationality_Count;0.013295169599851064;0.009234018319335036
Speechiness;-0.02612097228172754;0.014769435791244156
