feature;importance
Rank;22.078075553540096
Points (Total);16.487947695368582
Weeks_on_chart;13.840027933066708
Points_rolling_mean_4w;12.510762108239653
Rank_rolling_mean_4w;9.170429442385858
Rank_last_week;6.51997473877092
Artist_Hotness;2.8767016960773235
Valence;2.2387620040680876
Danceability;2.191318658106548
Points_change;2.1608842864725393
Loudness_Corrected;2.0534944250082443
Rank_change;1.8867516844288286
Speechiness;1.7755633421338026
Acousticness;1.4814533910087595
Energy;1.117855293057775
Points_last_week;0.7347454785523327
Nationality_Count;0.3087741538494097
Artist_Count;0.3069271505025479
Instrumentalness;0.25955096536200256
