feature;importance
Points (Total);0.36450036496101684
Rank;0.29474419759415726
Points_rolling_mean_4w;0.28937896673781804
Rank_rolling_mean_4w;0.19560946582426234
Rank_last_week;0.12559826701292148
Points_last_week;0.05491918594817374
Weeks_on_chart;0.014354667528957222
Points_change;0.007191453473059883
Valence;0.004010485124078744
Artist_Hotness;0.0028976966764561853
Danceability;0.002613752041048134
Artist_Count;0.0018147881487381335
Rank_change;0.001768372022926168
Energy;0.001432785244954382
Nationality_Count;0.0012313772221736353
Instrumentalness;0.0009143650365580847
Acousticness;0.0008804895568571891
Loudness_Corrected;-3.674753593038149e-05
Speechiness;-7.690849520719523e-05
