feature;importance
Rank;18.681962341931495
Points (Total);18.681958077399987
Points_rolling_mean_4w;13.52759734420018
Rank_rolling_mean_4w;12.789161019005187
Rank_last_week;4.65402690523075
Points_last_week;3.86474440317754
Speechiness;0.9611152612352278
Weeks_on_chart;0.7162059017796096
Artist_Hotness;0.702774158910955
Valence;0.5878152003689263
Nationality_Count;0.3448332823237002
Acousticness;0.2409047003544552
Rank_change;0.2138656816201892
Points_change;0.21386552589724733
Danceability;0.15385195677995628
Instrumentalness;0.13577096705079272
Energy;0.08608112350459117
Artist_Count;0.07155625272886859
Loudness_Corrected;0.008106521323979468
