feature;importance_mean;importance_std
Valence;0.870290963637936;0.06616541330064805
Instrumentalness;0.7836337632265498;0.01987223660698722
Energy;0.7405557169255502;0.0844415014026429
Speechiness;0.281807262778733;0.1234006169384661
Danceability;0.21330583417355625;0.03202666664551776
Artist_Count;0.06479525056722082;0.023911803537350996
Rank;0.05171017805821805;0.0003476253316261518
Points (Total);0.021954963280720108;0.0005465590063722901
Points_rolling_mean_4w;0.018413223552380488;0.0009741017476144901
Artist_Hotness;0.017415974967474313;0.0013355121743745123
Points_change;0.011747581427999875;0.001807734479035757
Weeks_on_chart;0.007851117349412106;0.0024981256516269463
Rank_rolling_mean_4w;0.004484988443780935;0.0011557046278887159
Points_last_week;0.00034331934295153135;0.0003863425081853562
Rank_change;-0.007979405665051332;0.0029425066140118033
Rank_last_week;-0.054374049404660244;0.0005243760061236638
Nationality_Count;-0.11177276512523804;0.0349264159432724
Loudness_Corrected;-0.12408384736777975;0.02466767063552748
Acousticness;-0.46853852836720195;0.04189001265578437
