number;value;datetime_start;datetime_complete;duration;params_batch_size;params_dropout;params_hidden_channels;params_kernel_size;params_lr;state
0;11.175158526521964;2025-10-28 17:41:39.339313;2025-10-28 18:27:05.621470;0 days 00:45:26.282157;128;0.2803345035229627;(128, 64);9;0.0005105903209394755;COMPLETE
1;11.503628187271866;2025-10-28 18:27:05.627230;2025-10-28 18:50:25.305787;0 days 00:23:19.678557;256;0.14184815819561256;(256, 128, 64);9;0.00019594972058679176;COMPLETE
2;11.210277642701447;2025-10-28 18:50:25.310293;2025-10-28 19:09:59.889446;0 days 00:19:34.579153;256;0.3896896099223679;(128, 64, 32);9;0.0006432759992849892;COMPLETE
3;11.084006698402549;2025-10-28 19:09:59.893181;2025-10-28 20:09:24.556507;0 days 00:59:24.663326;128;0.2560204063533433;(128, 64, 32);3;0.0003521358805467869;COMPLETE
4;11.102657358545185;2025-10-28 20:09:24.559505;2025-10-28 21:56:48.131203;0 days 01:47:23.571698;64;0.21660318690684463;(64, 32);9;0.000186788025710707;COMPLETE
5;11.09930143089379;2025-10-28 21:56:48.134199;2025-10-28 22:41:46.000076;0 days 00:44:57.865877;128;0.3446384285364503;(128, 64, 32);3;0.0005091635945818553;COMPLETE
6;11.120974688746417;2025-10-28 22:41:46.003386;2025-10-29 00:31:50.010388;0 days 01:50:04.007002;64;0.3188818535014193;(128, 64, 32);3;0.00043406770118894003;COMPLETE
7;11.395860242762952;2025-10-29 00:31:50.014126;2025-10-29 01:35:27.529823;0 days 01:03:37.515697;64;0.13236742809799135;(256, 128, 64);5;0.00010750512925563073;COMPLETE
8;11.120064633204285;2025-10-29 01:35:27.533825;2025-10-29 02:23:28.121604;0 days 00:48:00.587779;128;0.378909295702772;(64, 32);7;0.000642865884883182;COMPLETE
9;11.142802393695938;2025-10-29 02:23:28.124596;2025-10-29 03:16:30.696415;0 days 00:53:02.571819;64;0.2281323365878769;(128, 64);3;0.0006576801979658926;COMPLETE
10;11.229769075108587;2025-10-29 03:16:30.699985;2025-10-29 03:55:36.766692;0 days 00:39:06.066707;128;0.1906574071324178;(128, 64, 32);7;0.00028083234523416283;COMPLETE
11;11.065571177097345;2025-10-29 03:55:36.769689;2025-10-29 04:46:22.929979;0 days 00:50:46.160290;128;0.324238327254428;(128, 64, 32);3;0.00035129153548420596;COMPLETE
12;11.0885350375993;2025-10-29 04:46:22.933042;2025-10-29 05:41:08.006783;0 days 00:54:45.073741;128;0.2784678084942777;(128, 64, 32);3;0.0002856972394872996;COMPLETE
13;11.024047429230682;2025-10-29 05:41:08.010776;2025-10-29 06:47:48.080383;0 days 01:06:40.069607;128;0.3099475744103242;(128, 64, 32);3;0.00038901618990417263;COMPLETE
14;11.05017362732366;2025-10-29 06:47:48.083385;2025-10-29 08:05:49.139834;0 days 01:18:01.056449;128;0.3172707098426969;(128, 64, 32);5;0.00022562963369337493;COMPLETE
15;11.144497635277816;2025-10-29 08:05:49.142834;2025-10-29 08:43:10.161961;0 days 00:37:21.019127;128;0.3021592446821506;(128, 64, 32);5;0.0009277617929773842;COMPLETE
16;11.15513819668466;2025-10-29 08:43:10.164867;2025-10-29 09:15:31.116731;0 days 00:32:20.951864;256;0.3474297117415437;(256, 128, 64);5;0.000186060541357609;COMPLETE
17;11.172366927011543;2025-10-29 09:15:31.120824;2025-10-29 10:09:24.203697;0 days 00:53:53.082873;128;0.34853845277929796;(64, 32);5;0.00011416229779588849;COMPLETE
18;11.070172982254078;2025-10-29 10:09:24.206701;2025-10-29 10:50:31.841557;0 days 00:41:07.634856;128;0.2676395749129943;(128, 64);5;0.0002400143414930053;COMPLETE
19;11.238647890757798;2025-10-29 10:50:31.843992;2025-10-29 11:12:44.395153;0 days 00:22:12.551161;256;0.17997441178914833;(128, 64, 32);7;0.00013428250811496577;COMPLETE
20;11.043395644240517;2025-10-29 11:12:44.399143;2025-10-29 12:01:30.800218;0 days 00:48:46.401075;128;0.3011635427814659;(128, 64, 32);5;0.00022256722843133037;COMPLETE
21;11.056197006519037;2025-10-29 12:01:30.804421;2025-10-29 13:22:36.589705;0 days 01:21:05.785284;128;0.301981537229398;(128, 64, 32);5;0.00022757001965513003;COMPLETE
22;11.02658656932753;2025-10-29 13:22:36.592707;2025-10-29 15:28:08.608950;0 days 02:05:32.016243;128;0.3662654041775355;(128, 64, 32);5;0.00014552032153310144;COMPLETE
23;11.053876094437916;2025-10-29 15:28:08.615024;2025-10-29 16:52:24.463594;0 days 01:24:15.848570;128;0.3686275884672129;(128, 64, 32);5;0.0001482656918283788;COMPLETE
24;11.08440479579081;2025-10-29 16:52:24.467502;2025-10-29 18:17:09.305054;0 days 01:24:44.837552;128;0.39849882111203105;(128, 64, 32);5;0.00014845953977637506;COMPLETE
