patience;lr;kernel_size;hidden_channels;epochs;dropout;batch_size;mean_val_mae
10;0.0001;3;(64, 32);150;0.3;128;11.464552046616193
10;0.0001;5;(128, 64, 32);150;0.4;256;11.483311977657515
10;0.0005;3;(128, 64);150;0.4;256;11.52635282025571
10;0.0005;7;(128, 64, 32);150;0.3;128;11.537630532742568
10;0.0003;3;(64, 32);150;0.3;256;11.623042792572248
10;0.0001;3;(128, 64, 32);150;0.2;256;11.670865488050401
10;0.0003;5;(128, 64);150;0.2;256;11.688858946866084
10;0.0003;3;(64, 32);150;0.4;128;11.709415682564194
10;0.0001;5;(128, 64, 32);150;0.3;256;11.745916622381467
10;0.0003;3;(128, 64, 32);150;0.2;256;11.977101374930902
