y_pred;ci_lower;ci_upper
114.67803;80.5224;148.83366
66.557526;32.401894;100.71316
145.69376;111.538124;179.8494
126.084366;91.928734;160.23999
170.57935;136.4237;204.73499
199.83078;165.67514;233.98642
45.565525;11.409893;79.72116
64.839775;30.684143;98.99541
102.97133;68.8157;137.12695
85.78752;51.63189;119.94315
99.647194;65.49156;133.80283
118.126465;83.97083;152.2821
67.16626;33.010628;101.32189
22.131536;-12.024096;56.28717
149.41179;115.25616;183.56741
173.82367;139.66803;207.97931
14.048519;-20.107113;48.20415
168.75032;134.5947;202.90594
196.75421;162.59857;230.90985
188.90616;154.75052;223.0618
35.26235;1.1067162;69.417984
27.139828;-7.0158043;61.29546
39.95945;5.8038177;74.11508
116.48111;82.32548;150.63675
150.79544;116.63981;184.95108
35.753628;1.5979958;69.909256
44.57813;10.422497;78.733765
190.35818;156.20255;224.51382
86.69437;52.538734;120.85
173.39996;139.24432;207.5556
164.96507;130.80945;199.1207
125.29319;91.13756;159.44882
175.74738;141.59174;209.90302
160.871;126.71537;195.02664
143.0344;108.87876;177.19003
92.547134;58.391502;126.70277
140.67667;106.521034;174.8323
182.15254;147.99692;216.30817
88.77985;54.624214;122.93548
123.180565;89.02493;157.3362
127.84683;93.6912;162.00247
96.80082;62.645187;130.95645
47.8984;13.742767;82.05403
135.56296;101.407326;169.7186
39.14313;4.987499;73.29877
157.15332;122.99769;191.30896
40.674686;6.5190544;74.83032
99.282745;65.12711;133.43839
132.72745;98.571815;166.88309
57.700176;23.544544;91.855804
71.46566;37.310028;105.62129
176.26508;142.10944;210.42072
152.0556;117.89997;186.21124
182.73328;148.57764;216.88892
87.46622;53.310585;121.62185
37.457607;3.3019753;71.613235
37.966335;3.8107033;72.12196
100.814735;66.6591;134.97037
82.759384;48.603752;116.915016
95.959305;61.803673;130.11493
70.833374;36.677742;104.989006
48.151997;13.996365;82.30763
56.180637;22.025005;90.33627
30.940828;-3.2148037;65.09646
30.904938;-3.2506943;65.06057
18.351917;-15.803715;52.50755
