feature;importance
Rank;43.235595960484005
Points (Total);28.510629355539002
Points_rolling_mean_4w;5.123838648939024
Rank_last_week;5.053065265224891
Weeks_on_chart;4.252730210364764
Rank_rolling_mean_4w;3.215656445023287
Rank_change;2.2183121090091005
Points_change;1.8900362106869655
Artist_Hotness;1.1222804697936826
Points_last_week;1.0864703745689552
Valence;0.9027595865526612
Loudness_Corrected;0.775053812675506
Danceability;0.6587282145861503
Acousticness;0.5980238195249337
Speechiness;0.5410378909747284
Energy;0.45309619494026027
Artist_Count;0.19212895455482162
Nationality_Count;0.10164626203322635
Instrumentalness;0.06891021452401574
