feature;importance
Points (Total);23.521934707030127
Rank;23.521919968218263
Points_rolling_mean_4w;7.136780339807156
Rank_rolling_mean_4w;5.117949938057727
Rank_last_week;2.3247365313446138
Rank_change;0.8628718285424622
Points_change;0.8628713242215241
Speechiness;0.38817873944663633
Points_last_week;0.3166583219604089
Weeks_on_chart;0.29319852992215767
Valence;0.22328792208135528
Nationality_Count;0.13441390486576263
Artist_Hotness;0.11378724664141505
Danceability;0.09692568676847377
Instrumentalness;0.08533814240814519
Acousticness;0.07778798964080047
Artist_Count;0.028662916703596254
Loudness_Corrected;0.004759156912359671
Energy;0.0034950757325125166
