feature;importance_mean;importance_std
Points (Total);21.045040435805397;0.09930423134423268
Rank;21.045024372582493;0.09930415864952459
Points_rolling_mean_4w;4.3953696862665135;0.037521606822792916
Rank_rolling_mean_4w;2.7576209781936756;0.02823078416342231
Rank_last_week;0.48384509305251927;0.013558745940409435
Rank_change;0.09182400019971979;0.004145057377049633
Points_change;0.0918239077408292;0.0041450543903076235
Weeks_on_chart;0.006682511596000129;0.0038753879008400823
Nationality_Count;0.005956811096107817;0.0006474419016812868
Speechiness;0.0033523930780786416;0.0022633965392053444
Valence;0.002868040899014446;0.0016078937647396917
Instrumentalness;0.0013773923769178965;0.0006218072069851928
Artist_Count;0.0007286753039035254;0.0001145100554828316
Danceability;0.0005838953573340966;0.0006254867196054505
Acousticness;0.0005641527357378884;0.0007639950669578174
Loudness_Corrected;-6.098652084229883e-06;5.9608559639685665e-06
Energy;-4.203380183778194e-05;2.5365089927490325e-05
Artist_Hotness;-0.0049556468804677675;0.0006337586171062122
Points_last_week;-0.037981409089386985;0.001983811593516624
