y_pred;ci_lower;ci_upper
95.2468;71.465355;119.02825
79.50794;55.726494;103.28939
144.9188;121.137344;168.70024
137.70337;113.92192;161.48482
169.59492;145.81348;193.37637
199.56088;175.77943;223.34233
35.97419;12.1927395;59.75564
73.28875;49.5073;97.0702
135.90675;112.125305;159.6882
97.22819;73.44674;121.009636
99.77906;75.99761;123.56051
120.62735;96.8459;144.4088
64.064095;40.282646;87.84554
35.07037;11.288919;58.85182
145.41913;121.63768;169.20058
172.31873;148.53728;196.10017
10.607775;-13.173676;34.389225
165.8747;142.09325;189.65614
198.02383;174.24239;221.80528
187.53732;163.75587;211.31877
42.32398;18.542528;66.10543
17.708414;-6.073036;41.489864
45.00839;21.226938;68.78984
118.21714;94.43569;141.9986
154.80833;131.02689;178.58978
35.15283;11.371378;58.93428
71.04081;47.25936;94.82226
188.86809;165.08664;212.64954
88.15031;64.36886;111.931755
176.55498;152.77353;200.33643
165.78993;142.00848;189.57138
129.49135;105.7099;153.2728
175.26448;151.48303;199.04593
164.49734;140.7159;188.2788
164.28516;140.50371;188.0666
93.91039;70.128944;117.69184
144.09276;120.31131;167.8742
180.2335;156.45206;204.01495
91.10697;67.32552;114.88842
123.95955;100.1781;147.741
130.8163;107.03485;154.59775
103.5734;79.791954;127.35485
59.469532;35.68808;83.250984
133.52248;109.74103;157.30392
58.388386;34.606934;82.16984
159.77577;135.99432;183.55722
10.808788;-12.972662;34.59024
29.976269;6.1948185;53.75772
18.591825;-5.189625;42.373276
98.87422;75.09277;122.65567
134.79921;111.01776;158.58066
55.585308;31.803858;79.36676
111.59954;87.81809;135.381
174.28854;150.5071;198.06999
154.78917;131.00772;178.57062
181.11177;157.33032;204.89322
102.10442;78.322975;125.88587
47.620968;23.839518;71.40242
49.275585;25.494135;73.05704
98.22093;74.43948;122.00238
82.060234;58.278786;105.84168
105.38469;81.60324;129.16614
84.06176;60.28031;107.84321
62.151943;38.37049;85.933395
60.88606;37.104607;84.66751
26.76067;2.9792194;50.54212
37.709126;13.927675;61.490578
27.249012;3.4675617;51.030464
29.439196;5.6577454;53.220646
17.326052;-6.4553986;41.107502
46.716465;22.935015;70.49792
56.070503;32.289055;79.85195
149.08719;125.30574;172.86864
140.36069;116.57924;164.14214
88.072044;64.290596;111.85349
136.12105;112.3396;159.9025
183.98009;160.19864;207.76154
12.18499;-11.59646;35.96644
81.17491;57.393463;104.95636
186.97658;163.19513;210.75803
66.2878;42.506355;90.06925
162.96153;139.18008;186.74298
25.14558;1.36413;48.927032
79.1136;55.332153;102.89505
192.07039;168.28894;215.85184
95.18839;71.406944;118.96984
58.608757;34.82731;82.390205
136.973;113.19156;160.75446
150.19734;126.41589;173.97879
184.47218;160.69073;208.25363
