feature;importance_mean;importance_std
Points (Total);28.456891560426186;0.13110264062241134
Rank;26.435432196946653;0.12204187881655304
Points_rolling_mean_4w;8.757686004802922;0.06749870521200228
Rank_last_week;6.710726983571119;0.055308158520873583
Rank_rolling_mean_4w;5.650807907197586;0.05381198793797769
Points_last_week;3.356168412432158;0.05587802428728423
Weeks_on_chart;0.23373593564925263;0.01684112735122612
Points_change;0.14930800182962142;0.008663854922683551
Rank_change;0.12900907454777827;0.0077957178644000175
Valence;0.061778279462756734;0.006922689361579029
Danceability;0.06148618203534282;0.00504972750471112
Artist_Count;0.04979153975070254;0.0069083453758578715
Artist_Hotness;0.04394087494010597;0.008598115150590951
Nationality_Count;0.024744936359697968;0.009261325823402425
Acousticness;0.019635632163599936;0.00668262123018979
Energy;0.016371685559942416;0.005436665270142465
Loudness_Corrected;0.015361707178528227;0.002680013126465859
Instrumentalness;0.009020166908753869;0.002559333412889295
Speechiness;-0.003197916076376739;0.005810577857298608
