y_pred;ci_lower;ci_upper
96.16618;72.40006;119.932304
79.92815;56.162025;103.69427
144.5143;120.74818;168.28043
137.0156;113.24947;160.78171
169.69897;145.93286;193.46509
198.37685;174.61072;222.14297
38.209866;14.443745;61.975986
72.25943;48.49331;96.02555
136.41278;112.64666;160.1789
97.806;74.03988;121.57212
102.1968;78.43068;125.96292
120.46891;96.70279;144.23503
60.81339;37.047268;84.57951
35.18497;11.41885;58.95109
144.96721;121.20109;168.73334
172.14142;148.3753;195.90753
10.829473;-12.936648;34.595592
167.32913;143.56302;191.09525
196.05421;172.28809;219.82034
185.97322;162.20709;209.73935
43.227085;19.460964;66.99321
15.967614;-7.7985067;39.733734
45.250225;21.484104;69.01634
119.61403;95.84791;143.38016
155.99565;132.22952;179.76178
31.335102;7.568981;55.101223
67.93741;44.171288;91.70353
190.37259;166.60648;214.1387
91.879974;68.11385;115.646095
175.0446;151.27847;198.81073
165.82423;142.0581;189.59036
129.79036;106.02424;153.55649
174.82549;151.05936;198.59161
164.07199;140.30588;187.8381
162.74756;138.98145;186.51367
95.105865;71.339745;118.87199
145.08362;121.3175;168.84973
178.67282;154.90671;202.43893
89.84396;66.07784;113.610085
123.41885;99.65273;147.18497
130.45227;106.68615;154.21838
104.06852;80.3024;127.83464
60.070766;36.304646;83.83688
133.80977;110.04365;157.5759
59.512394;35.746273;83.27852
158.55383;134.78772;182.31995
10.469996;-13.296124;34.23612
31.626663;7.8605423;55.392784
18.807064;-4.959057;42.573185
98.985535;75.21941;122.751656
134.30402;110.537895;158.07013
55.08224;31.31612;78.84836
116.65233;92.88621;140.41846
174.64902;150.8829;198.41513
153.91537;130.14926;177.68149
181.79575;158.02963;205.56186
101.99246;78.22634;125.75858
47.152515;23.386395;70.91864
47.858532;24.092411;71.62465
97.45344;73.68732;121.21956
82.486145;58.720024;106.252266
103.72577;79.95965;127.49189
83.98079;60.21467;107.74691
63.974804;40.208683;87.74092
58.26843;34.502308;82.034546
29.181252;5.4151306;52.947372
