feature;importance_mean;importance_std
Rank;26.243536097609923;0.12247929046045344
Points (Total);25.238120182236834;0.11733658247053853
Rank_rolling_mean_4w;5.998400736736459;0.04982974173518495
Points_rolling_mean_4w;4.965686830151392;0.04453785375296894
Rank_last_week;3.704946108908769;0.04031185988556331
Points_last_week;1.481392976686398;0.034333306733866094
Weeks_on_chart;0.20198362543862353;0.01164789270767899
Rank_change;0.12689305573683268;0.011947716239781098
Points_change;0.12612055518405468;0.008735170477515188
Artist_Hotness;0.10298725886558549;0.010155052525470457
Danceability;0.07692671202781183;0.0051956572343378575
Valence;0.05554935454403731;0.0037311402405623604
Acousticness;0.030533995639702737;0.008298095155168718
Nationality_Count;0.02643402063517648;0.011092650892589354
Artist_Count;0.024786047032922996;0.008156679642301252
Energy;0.01798335373296931;0.003979297905762941
Loudness_Corrected;0.015671384398724;0.0038308156586670597
Instrumentalness;0.012249496977130913;0.0028397225001020746
Speechiness;-0.00463254817396237;0.0033305818124711485
