feature;importance_mean;importance_std
Points (Total);27.21335718612631;0.1279320590530846
Rank;25.343295641546106;0.12264496973725308
Points_rolling_mean_4w;9.318377049544276;0.07375423374880274
Rank_last_week;6.862453183925669;0.0577124578585836
Rank_rolling_mean_4w;5.254441810615284;0.038392124596813015
Points_last_week;3.7445679294773284;0.06745526926655457
Weeks_on_chart;0.23350603404406253;0.015804369269081197
Points_change;0.0921362088331854;0.010273930976997366
Rank_change;0.07789790538625496;0.0066469951304263695
Valence;0.06926913822442131;0.007599062459601254
Artist_Count;0.062112142851815474;0.006150992952747672
Nationality_Count;0.04339098505687158;0.007384943002502522
Danceability;0.03673472556708024;0.009008634400990296
Acousticness;0.030982264348733503;0.00417338454958069
Energy;0.023341901332999005;0.004871802101702388
Artist_Hotness;0.023257404493209056;0.010264927074850822
Instrumentalness;0.010941382539379329;0.0040881339949328755
Loudness_Corrected;0.008064424533032088;0.002291375421788967
Speechiness;0.0022842574954319516;0.006587200332484682
