Artist;Collaboration_Count;Nationality;Continent;Degree_Centrality
Bad Bunny;63;Puerto Rico;Latin-America;0.04038461538461539
J Balvin;56;Colombia;Latin-America;0.035897435897435895
Ozuna;46;Puerto Rico;Latin-America;0.029487179487179487
Anuel AA;46;Puerto Rico;Latin-America;0.029487179487179487
Daddy Yankee;42;Puerto Rico;Latin-America;0.026923076923076925
Rauw Alejandro;41;Puerto Rico;Latin-America;0.026282051282051282
Myke Towers;37;Puerto Rico;Latin-America;0.023717948717948717
David Guetta;37;France;Europe;0.023717948717948717
Drake;36;Canada;Anglo-America;0.023076923076923078
Farruko;35;Puerto Rico;Latin-America;0.022435897435897436
